cat,image_name,ratio
0,170721_L02_3_1206_882.png,1.0896
10,170721_L12_3_1198_669.png,0.4222
20,170721_M21_1_1098_1178.png,0.4041
20,170721_N24_2_131_568.png,0.2061
0,170721_L03_3_918_522.png,0.6532
20,170721_N24_1_728_1188.png,0.3959
0,170721_I05_1_496_1038.png,1.2879
10,170721_L11_3_641_905.png,0.2852
0,170721_J05_2_154_957.png,0.1852
0,170721_L05_1_864_405.png,1.3964
10,170721_P12_2_1131_1262.png,0.3955
10,170721_N12_3_141_669.png,0.3132
0,170721_I05_3_739_324.png,0.8563
0,170721_O05_4_224_348.png,0.8326
10,170721_P14_4_141_305.png,0.2811
5,170721_L08_4_259_1139.png,0.237
0,170721_J03_1_1210_873.png,0.6265
5,170721_M10_1_1235_284.png,0.4965
10,170721_M11_4_1227_335.png,1.11
20,170721_J23_4_442_676.png,0.2052
0,170721_J03_1_689_1047.png,0.4607
0,170721_P01_2_979_822.png,0.8664
10,170721_O12_2_639_154.png,0.3119
5,170721_I06_2_488_944.png,0.4216
20,170721_L24_4_1077_961.png,0.3151
10,170721_M11_2_491_1158.png,0.1439
5,170721_K10_3_1232_1220.png,0.3495
0,170721_K04_1_129_513.png,1.1624
0,170721_N04_2_698_866.png,1.0554
0,170721_I01_3_1100_829.png,0.711
20,170721_I23_1_664_616.png,0.2251
0,170721_O03_2_1258_258.png,0.8719
5,170721_K08_2_1270_184.png,0.2125
0,170721_M02_3_318_516.png,0.9431
10,170721_J11_4_1266_406.png,0.284
10,170721_P11_4_1101_1023.png,0.2497
20,170721_J23_4_507_1018.png,0.5385
10,170721_I11_1_618_544.png,0.3767
0,170721_I02_2_1036_249.png,0.7876
10,170721_I15_1_685_279.png,0.1611
10,170721_N13_2_623_1145.png,0.3155
20,170721_N23_4_785_707.png,0.2408
10,170721_L11_2_377_238.png,0.2627
10,170721_N11_4_330_834.png,0.2344
5,170721_N06_2_304_1256.png,1.0408
5,170721_M09_4_1186_170.png,0.3179
5,170721_N06_2_170_1252.png,0.3426
10,170721_M15_2_851_1031.png,0.4478
0,170721_K01_4_925_1200.png,0.8787
5,170721_L08_1_500_674.png,0.3553
20,170721_K23_3_581_1218.png,0.21
0,170721_J04_3_594_1173.png,1.1222
0,170721_N03_4_584_1203.png,0.3889
5,170721_L06_1_900_621.png,0.382
10,170721_J11_2_879_664.png,0.2912
5,170721_J08_1_699_752.png,0.4593
5,170721_P07_2_1068_525.png,0.1881
